chunk_id,laptop_id,field,text,citations
738_1,738,link_profile,link_profile: https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-901/,['738:link_profile']
738_2,738,full_name,full_name: Lenovo IdeaPad Gaming 3i 15,['738:full_name']
738_3,738,producer,producer: Lenovo,['738:producer']
738_4,738,model,model: IdeaPadGaming3i15,['738:model']
738_5,738,cpu,cpu: Intel Core i5-11300H,['738:cpu']
738_6,738,cpu_mark,cpu_mark: 11002,['738:cpu_mark']
738_7,738,gpu,gpu: NVIDIA GeForce GTX 1650 (Laptop),['738:gpu']
738_8,738,disc,disc: 1000GB SSD,['738:disc']
738_9,738,ram,ram: 16GB,['738:ram']
738_10,738,display_size,display_size: 15.6”,['738:display_size']
738_11,738,display_resolution,display_resolution: Full HD (1920 x 1080),['738:display_resolution']
738_12,738,display_hz,display_hz: 120 Hz,['738:display_hz']
738_13,738,weight,"weight: 359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")",['738:weight']
738_14,738,hdmi_version,hdmi_version: 2.0,['738:hdmi_version']
738_15,738,wifi_version,wifi_version: 802.11ax,['738:wifi_version']
738_16,738,bluetooth_version,bluetooth_version: 5.0,['738:bluetooth_version']
738_17,738,webcam_resolution,webcam_resolution: 720p,['738:webcam_resolution']
738_18,738,microphone_count,microphone_count: 2x Microphones,['738:microphone_count']
738_19,738,publishing_date,publishing_date: 02.11.2023,['738:publishing_date']
738_20,738,price_in_dollar,price_in_dollar: $929.00,['738:price_in_dollar']
738_21,738,review_link,review_link: https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/,['738:review_link']
738_22,738,amazon_link,amazon_link: https://www.amazon.com/exec/obidos/ASIN/B0CG1M4G15?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,['738:amazon_link']
738_23,738,ethernet,"ethernet: 10, 100, 1000 Mbit/s",['738:ethernet']
738_24,738,fingerprint_reader,fingerprint_reader: Fingerprint reader,['738:fingerprint_reader']
738_25,738,service_rank,service_rank: 3.0,['738:service_rank']
738_26,738,service_level,service_level: 85/100,['738:service_level']
741_0,741,full_name_with_specs,"full_name_with_specs: Lenovo ThinkPad E16 Gen 1ProcessorIntel Core i5-1335UInternal memory8GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display16.0”, WUXGA (1920 x 1200), IPSSolid-state drive2000GB SSD",['741:full_name_with_specs']
741_1,741,link_profile,link_profile: https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-134/,['741:link_profile']
741_2,741,full_name,full_name: Lenovo ThinkPad E16 Gen 1,['741:full_name']
741_3,741,producer,producer: Lenovo,['741:producer']
741_4,741,model,model: ThinkPadE16Gen1,['741:model']
741_5,741,cpu,cpu: Intel Core i5-1335U,['741:cpu']
741_6,741,cpu_mark,cpu_mark: 17424,['741:cpu_mark']
741_7,741,gpu,gpu: Intel Iris Xe Graphics G7 (80EU),['741:gpu']
741_8,741,disc,disc: 2000GB SSD,['741:disc']
741_9,741,ram,ram: 8GB,['741:ram']
741_10,741,display_size,display_size: 16.0”,['741:display_size']
741_11,741,display_resolution,display_resolution: WUXGA (1920 x 1200),['741:display_resolution']
741_12,741,display_tech,display_tech: IPS,['741:display_tech']
741_13,741,weight,weight: 2.0,['741:weight']
741_14,741,hdmi_version,hdmi_version: 2.0,['741:hdmi_version']
741_15,741,wifi_version,wifi_version: 802.11ax,['741:wifi_version']
741_16,741,bluetooth_version,bluetooth_version: 5.1,['741:bluetooth_version']
741_17,741,webcam_resolution,webcam_resolution: 720p / 1080p,['741:webcam_resolution']
741_18,741,microphone_count,microphone_count: 2x Microphones,['741:microphone_count']
741_19,741,publishing_date,publishing_date: 01.11.2023,['741:publishing_date']
741_20,741,ethernet,"ethernet: 10, 100, 1000 Mbit/s",['741:ethernet']
741_21,741,fingerprint_reader,fingerprint_reader: Fingerprint reader,['741:fingerprint_reader']
741_22,741,service_rank,service_rank: 3.0,['741:service_rank']
741_23,741,service_level,service_level: 85/100,['741:service_level']
661_0,661,full_name_with_specs,"full_name_with_specs: ASUS TUF Gaming F17ProcessorIntel Core i5-11260HInternal memory8GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop, 75W)Display17.3”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive512GB SSD",['661:full_name_with_specs']
661_1,661,link_profile,link_profile: https://laptopmedia.com/laptop-specs/asus-tuf-gaming-f17-149/,['661:link_profile']
661_2,661,full_name,full_name: ASUS TUF Gaming F17,['661:full_name']
661_3,661,producer,producer: ASUS,['661:producer']
661_4,661,model,model: TUFGamingF17,['661:model']
661_5,661,cpu,cpu: Intel Core i5-11260H,['661:cpu']
661_6,661,cpu_mark,cpu_mark: 15776,['661:cpu_mark']
661_7,661,gpu,"gpu: NVIDIA GeForce RTX 3050 (Laptop, 75W)",['661:gpu']
661_8,661,disc,disc: 512GB SSD,['661:disc']
661_9,661,ram,ram: 8GB,['661:ram']
661_10,661,display_size,display_size: 17.3”,['661:display_size']
661_11,661,display_resolution,display_resolution: Full HD (1920 x 1080),['661:display_resolution']
661_12,661,display_hz,display_hz: 144 Hz,['661:display_hz']
661_13,661,weight,"weight: 399 x 269 x 23.9 ~ 24.8 mm (15.71"" x 10.59"" x 0.94"")",['661:weight']
661_14,661,hdmi_version,hdmi_version: 2.0b,['661:hdmi_version']
661_15,661,wifi_version,wifi_version: 802.11ax,['661:wifi_version']
661_16,661,bluetooth_version,bluetooth_version: 5.2,['661:bluetooth_version']
661_17,661,webcam_resolution,webcam_resolution: 720p,['661:webcam_resolution']
661_18,661,microphone_count,microphone_count: 1x Microphone,['661:microphone_count']
661_19,661,publishing_date,publishing_date: 02.12.2021,['661:publishing_date']
661_20,661,fingerprint_reader,fingerprint_reader: Fingerprint reader,['661:fingerprint_reader']
661_21,661,service_rank,service_rank: 5.0,['661:service_rank']
661_22,661,service_level,service_level: 80/100,['661:service_level']
412_0,412,full_name_with_specs,"full_name_with_specs: Acer Predator Helios 300ProcessorIntel Core i7-12700HInternal memory64GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 140W)Display15.6"", Full HD (1920 x 1080), 165 Hz, IPSSolid-state drive8000GB SSD",['412:full_name_with_specs']
412_1,412,link_profile,link_profile: https://laptopmedia.com/laptop-specs/acer-predator-helios-300-1750/,['412:link_profile']
412_2,412,full_name,full_name: Acer Predator Helios 300,['412:full_name']
412_3,412,producer,producer: Acer,['412:producer']
412_4,412,model,model: PredatorHelios300,['412:model']
412_5,412,cpu,cpu: Intel Core i7-12700H,['412:cpu']
412_6,412,cpu_mark,cpu_mark: 26457,['412:cpu_mark']
412_7,412,gpu,"gpu: NVIDIA GeForce RTX 3060 (Laptop, 140W)",['412:gpu']
412_8,412,disc,disc: 8000GB SSD,['412:disc']
412_9,412,ram,ram: 64GB,['412:ram']
412_10,412,display_size,"display_size: 15.6""",['412:display_size']
412_11,412,display_resolution,display_resolution: Full HD (1920 x 1080),['412:display_resolution']
412_12,412,display_hz,display_hz: 165 Hz,['412:display_hz']
412_13,412,hdmi_version,hdmi_version: 2.1,['412:hdmi_version']
412_14,412,wifi_version,wifi_version: 802.11ax,['412:wifi_version']
412_15,412,bluetooth_version,bluetooth_version: 5.2,['412:bluetooth_version']
412_16,412,publishing_date,publishing_date: 26.09.2023,['412:publishing_date']
412_17,412,dimensions,"dimensions: 359.4 x 276.4 x 25.9 mm (14.15"" x 10.88"" x 1.02"")",['412:dimensions']
412_18,412,fingerprint_reader,fingerprint_reader: Fingerprint reader,['412:fingerprint_reader']
412_19,412,service_rank,service_rank: 7.0,['412:service_rank']
412_20,412,service_level,service_level: 73/100,['412:service_level']
679_0,679,full_name_with_specs,"full_name_with_specs: HP ENVY x360 15ProcessorAMD Ryzen 5 5500UInternal memory8GB RAMVideo cardAMD Radeon RX Vega 7 (R4000/5000, 15W)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",['679:full_name_with_specs']
679_1,679,link_profile,link_profile: https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4977/,['679:link_profile']
679_2,679,full_name,full_name: HP ENVY x360 15,['679:full_name']
679_3,679,producer,producer: HP,['679:producer']
679_4,679,model,model: ENVYx36015,['679:model']
679_5,679,cpu,cpu: AMD Ryzen 5 5500U,['679:cpu']
679_6,679,cpu_mark,cpu_mark: 13159,['679:cpu_mark']
679_7,679,gpu,"gpu: AMD Radeon RX Vega 7 (R4000/5000, 15W)",['679:gpu']
679_8,679,disc,disc: 256GB SSD,['679:disc']
679_9,679,ram,ram: 8GB,['679:ram']
679_10,679,display_size,display_size: 15.6”,['679:display_size']
679_11,679,display_resolution,display_resolution: Full HD (1920 x 1080),['679:display_resolution']
679_12,679,display_tech,display_tech: IPS,['679:display_tech']
679_13,679,weight,"weight: 358.9 x 228 x 18.4 mm (14.13"" x 8.98"" x 0.72"")",['679:weight']
679_14,679,hdmi_version,hdmi_version: 2.0b,['679:hdmi_version']
679_15,679,wifi_version,wifi_version: 802.11ax,['679:wifi_version']
679_16,679,bluetooth_version,bluetooth_version: 5.0,['679:bluetooth_version']
679_17,679,webcam_resolution,webcam_resolution: 720p,['679:webcam_resolution']
679_18,679,microphone_count,microphone_count: 2x Microphones,['679:microphone_count']
679_19,679,publishing_date,publishing_date: 22.09.2023,['679:publishing_date']
679_20,679,fingerprint_reader,fingerprint_reader: Fingerprint reader,['679:fingerprint_reader']
679_21,679,service_rank,service_rank: 9.0,['679:service_rank']
679_22,679,service_level,service_level: 63/100,['679:service_level']
627_0,627,full_name_with_specs,"full_name_with_specs: ASUS TUF Gaming FX504ProcessorIntel Core i5-8300HInternal memory16GB RAMVideo cardNVIDIA GeForce GTX 1050 (4GB GDDR5)Display15.6”, Full HD (1920 x 1080), IPSHard drive2000GB HDDSolid-state drive256GB SSD",['627:full_name_with_specs']
627_1,627,link_profile,link_profile: https://laptopmedia.com/laptop-specs/asus-tuf-gaming-fx504-285/,['627:link_profile']
627_2,627,full_name,full_name: ASUS TUF Gaming FX504,['627:full_name']
627_3,627,producer,producer: ASUS,['627:producer']
627_4,627,model,model: TUFGamingFX504,['627:model']
627_5,627,cpu,cpu: Intel Core i5-8300H,['627:cpu']
627_6,627,cpu_mark,cpu_mark: 7466,['627:cpu_mark']
627_7,627,gpu,gpu: NVIDIA GeForce GTX 1050 (4GB GDDR5),['627:gpu']
627_8,627,disc,disc: 256GB SSD + 2000GB HDD,['627:disc']
627_9,627,ram,ram: 16GB,['627:ram']
627_10,627,display_size,display_size: 15.6”,['627:display_size']
627_11,627,display_resolution,display_resolution: Full HD (1920 x 1080),['627:display_resolution']
627_12,627,display_tech,display_tech: IPS,['627:display_tech']
627_13,627,weight,"weight: 384 x 262 x 25.1 mm (15.12"" x 10.31"" x 0.99"")",['627:weight']
627_14,627,hdmi_version,hdmi_version: 1.4,['627:hdmi_version']
627_15,627,wifi_version,wifi_version: 802.11ac,['627:wifi_version']
627_16,627,bluetooth_version,bluetooth_version: 4.1,['627:bluetooth_version']
627_17,627,publishing_date,publishing_date: 20.03.2020,['627:publishing_date']
627_18,627,fingerprint_reader,fingerprint_reader: Fingerprint reader,['627:fingerprint_reader']
627_19,627,service_rank,service_rank: 5.0,['627:service_rank']
627_20,627,service_level,service_level: 80/100,['627:service_level']
514_0,514,full_name_with_specs,"full_name_with_specs: MSI Katana 15ProcessorIntel Core i7-12650HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 4070 (Laptop, 105W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",['514:full_name_with_specs']
514_1,514,link_profile,link_profile: https://laptopmedia.com/laptop-specs/msi-katana-15-17/,['514:link_profile']
514_2,514,full_name,full_name: MSI Katana 15,['514:full_name']
514_3,514,producer,producer: MSI,['514:producer']
514_4,514,model,model: Katana15,['514:model']
514_5,514,cpu,cpu: Intel Core i7-12650H,['514:cpu']
514_6,514,cpu_mark,cpu_mark: 23461,['514:cpu_mark']
514_7,514,gpu,"gpu: NVIDIA GeForce RTX 4070 (Laptop, 105W)",['514:gpu']
514_8,514,disc,disc: 1000GB SSD,['514:disc']
514_9,514,ram,ram: 16GB,['514:ram']
514_10,514,display_size,display_size: 15.6”,['514:display_size']
514_11,514,display_resolution,display_resolution: Full HD (1920 x 1080),['514:display_resolution']
514_12,514,display_hz,display_hz: 144 Hz,['514:display_hz']
514_13,514,weight,"weight: 359 x 259 x 24.9 mm (14.13"" x 10.20"" x 0.98"")",['514:weight']
514_14,514,hdmi_version,hdmi_version: 2.1,['514:hdmi_version']
514_15,514,wifi_version,wifi_version: 802.11ax,['514:wifi_version']
514_16,514,bluetooth_version,bluetooth_version: 5.2,['514:bluetooth_version']
514_17,514,webcam_resolution,webcam_resolution: 720p,['514:webcam_resolution']
514_18,514,publishing_date,publishing_date: 25.02.2023,['514:publishing_date']
514_19,514,ethernet,"ethernet: 10, 100, 1000 Mbit/s",['514:ethernet']
514_20,514,fingerprint_reader,fingerprint_reader: Fingerprint reader,['514:fingerprint_reader']
514_21,514,service_rank,service_rank: 10.0,['514:service_rank']
514_22,514,service_level,service_level: 44/100,['514:service_level']
860_0,860,full_name_with_specs,"full_name_with_specs: Acer Predator Helios 300ProcessorIntel Core i7-11800HInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3070 (Laptop, 110W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSHard drive1000GB HDDSolid-state drive512GB SSD",['860:full_name_with_specs']
860_1,860,link_profile,link_profile: https://laptopmedia.com/laptop-specs/acer-predator-helios-300-1733/,['860:link_profile']
860_2,860,full_name,full_name: Acer Predator Helios 300,['860:full_name']
860_3,860,producer,producer: Acer,['860:producer']
860_4,860,model,model: PredatorHelios300,['860:model']
860_5,860,cpu,cpu: Intel Core i7-11800H,['860:cpu']
860_6,860,cpu_mark,cpu_mark: 20772,['860:cpu_mark']
860_7,860,gpu,"gpu: NVIDIA GeForce RTX 3070 (Laptop, 110W)",['860:gpu']
860_8,860,disc,disc: 512GB SSD + 1000GB HDD,['860:disc']
860_9,860,ram,ram: 32GB,['860:ram']
860_10,860,display_size,display_size: 15.6”,['860:display_size']
860_11,860,display_resolution,display_resolution: Full HD (1920 x 1080),['860:display_resolution']
860_12,860,display_hz,display_hz: 144 Hz,['860:display_hz']
860_13,860,hdmi_version,hdmi_version: 2.1,['860:hdmi_version']
860_14,860,wifi_version,wifi_version: 802.11ax,['860:wifi_version']
